ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
PACKAGED TEA,READY TO EAT,13.30%,3.90%,0.70%,17.60%,5.20%
PRE-POST WASH PRODUCTS,REFINED EDIBLE OILS-ALL PACKS,3.30%,12.40%,0.70%,5.90%,22.00%
PRE-POST WASH PRODUCTS,TOOTH PASTES,3.30%,9.10%,0.70%,8.20%,22.40%
PRE-POST WASH PRODUCTS,VERMICELLI & NOODLE,3.30%,17.20%,0.70%,4.30%,22.00%
REFINED EDIBLE OILS-ALL PACKS,SHAMPOO - BY SEGMENTS,12.40%,4.30%,0.70%,15.50%,5.40%
SCOURING PADS/SCRUBS,WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.70%,5.00%,43.40%
SHAMPOO - BY SEGMENTS,SPICES (03/04),4.30%,15.40%,0.70%,4.80%,17.30%
SKIN CREAMS,SPICES (03/04),4.00%,15.40%,0.70%,4.70%,18.50%
TALCUM POWDERS,TOILET SOAPS (04/00),1.70%,11.80%,0.70%,5.70%,39.50%
TALCUM POWDERS,WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.70%,4.70%,39.50%
TOOTH BRUSH   (7/93),TOOTH PASTES,1.60%,9.10%,0.70%,7.20%,41.20%
ALL IODISED SALT,PACKAGED PURE GHEE,6.80%,4.90%,0.60%,12.50%,8.90%
ANTISEPTIC LIQUIDS (4/97),BISCUITS - CORE & NON CORE,1.10%,47.50%,0.60%,1.30%,60.30%
BEVERAGES,PACKAGED TEA,2.90%,13.30%,0.60%,4.20%,19.50%
BEVERAGES,TOILET SOAPS (04/00),2.90%,11.80%,0.60%,5.00%,20.50%
BISCUITS - CORE & NON CORE,CONFECTIONERY - ECLAIRS,47.50%,1.10%,0.60%,52.10%,1.20%
BREAKFAST CEREALS,TOOTH PASTES,4.90%,9.10%,0.60%,6.70%,12.40%
BUTTER MARGR  (4/94),DETERGENT CAKES/BARS,7.80%,4.90%,0.60%,12.10%,7.60%
BUTTER MARGR  (4/94),READY TO EAT,7.80%,3.90%,0.60%,15.20%,7.60%
BUTTER MARGR  (4/94),SHAMPOO - BY SEGMENTS,7.80%,4.30%,0.60%,13.70%,7.60%
CHEESE        (4/94),PACKAGED ATTA (1/95),3.70%,8.70%,0.60%,7.00%,16.30%
CHEESE        (4/94),TOOTH PASTES,3.70%,9.10%,0.60%,6.50%,15.80%
CHOCOLATE,CLEANERS - TOILET,18.00%,2.60%,0.60%,23.80%,3.40%
CHOCOLATE,COCONUT OIL PKTYP (08/02),18.00%,4.20%,0.60%,13.60%,3.20%
CHOCOLATE,HAIR DYES     (1/76),18.00%,3.00%,0.60%,19.90%,3.30%
CHOCOLATE,HAIR OILS PKTP(8/02),18.00%,3.00%,0.60%,20.20%,3.40%
CHOCOLATE,SANITARY NAPKINS,18.00%,2.90%,0.60%,22.00%,3.50%
CHOCOLATE,SKIN CREAMS,18.00%,4.00%,0.60%,15.70%,3.50%
CLEANERS - FLOOR,COCONUT OIL PKTYP (08/02),4.20%,4.20%,0.60%,13.90%,14.00%
CLEANERS - TOILET,TOOTH PASTES,2.60%,9.10%,0.60%,6.70%,23.80%
CLEANERS - UTENSIL,CONFECTIONERY - TOFFEE/HBC,9.10%,4.20%,0.60%,13.80%,6.30%
CLEANERS - UTENSIL,LIQUID TOILET SOAPS  (8/93),9.10%,2.30%,0.60%,26.00%,6.50%
COCONUT OIL PKTYP (08/02),DETERGENT CAKES/BARS,4.20%,4.90%,0.60%,12.50%,14.30%
COCONUT OIL PKTYP (08/02),PACKAGED ATTA (1/95),4.20%,8.70%,0.60%,7.20%,14.70%
COFFEE,SALTY SNACKS (2/97),2.50%,20.10%,0.60%,3.20%,25.60%
COFFEE,TOILET SOAPS (04/00),2.50%,11.80%,0.60%,5.10%,24.40%
COFFEE,TOOTH PASTES,2.50%,9.10%,0.60%,6.80%,25.00%
COFFEE,VERMICELLI & NOODLE,2.50%,17.20%,0.60%,3.30%,22.50%
CONFECTIONERY - TOFFEE/HBC,PACKAGED TEA,4.20%,13.30%,0.60%,4.60%,14.50%
CONFECTIONERY - TOFFEE/HBC,TOOTH PASTES,4.20%,9.10%,0.60%,6.30%,13.80%
CONFECTIONERY - TOFFEE/HBC,VERMICELLI & NOODLE,4.20%,17.20%,0.60%,3.50%,14.50%
DETERGENT CAKES/BARS,PACKAGED ATTA (1/95),4.90%,8.70%,0.60%,7.00%,12.50%
DETERGENT CAKES/BARS,PRE-POST WASH PRODUCTS,4.90%,3.30%,0.60%,17.80%,12.10%
HAIR DYES     (1/76),PACKAGED TEA,3.00%,13.30%,0.60%,4.20%,18.80%
HAIR OILS PKTP(8/02),WASHING POWDERS/LIQUIDS,3.00%,14.40%,0.60%,4.30%,20.70%
LIQUID TOILET SOAPS  (8/93),SALTY SNACKS (2/97),2.30%,20.10%,0.60%,3.00%,26.70%
LIQUID TOILET SOAPS  (8/93),TOILET SOAPS (04/00),2.30%,11.80%,0.60%,5.00%,26.00%
MOSQUITO REPELLANTS CTG (8/93),WASHING POWDERS/LIQUIDS,1.90%,14.40%,0.60%,4.10%,31.70%
PACKAGED TEA,SKIN CREAMS,13.30%,4.00%,0.60%,15.70%,4.70%
READY TO EAT,TOILET SOAPS (04/00),3.90%,11.80%,0.60%,5.10%,15.60%
READY TO EAT,WASHING POWDERS/LIQUIDS,3.90%,14.40%,0.60%,4.20%,15.60%
REFINED EDIBLE OILS-ALL PACKS,SKIN CREAMS,12.40%,4.00%,0.60%,15.70%,5.00%
SALTY SNACKS (2/97),SANITARY NAPKINS,20.10%,2.90%,0.60%,21.00%,3.00%
SANITARY NAPKINS,SPICES (03/04),2.90%,15.40%,0.60%,3.60%,19.40%
TOILET SOAPS (04/00),TOOTH BRUSH   (7/93),11.80%,1.60%,0.60%,40.20%,5.40%
AGARBATTI & DHOOPBATTI,SPICES (03/04),1.80%,15.40%,0.50%,2.90%,25.40%
ALL IODISED SALT,BREAKFAST CEREALS,6.80%,4.90%,0.50%,9.20%,6.60%
ALL IODISED SALT,CHEESE        (4/94),6.80%,3.70%,0.50%,13.30%,7.30%
BATTERIES,VERMICELLI & NOODLE,1.90%,17.20%,0.50%,2.70%,24.20%
BATTERIES,WASHING POWDERS/LIQUIDS,1.90%,14.40%,0.50%,3.60%,26.60%
BEVERAGES,CHOCOLATE,2.90%,18.00%,0.50%,3.00%,18.90%
BEVERAGES,CLEANERS - UTENSIL,2.90%,9.10%,0.50%,5.00%,15.70%
BEVERAGES,REFINED EDIBLE OILS-ALL PACKS,2.90%,12.40%,0.50%,4.00%,17.30%
BEVERAGES,SPICES (03/04),2.90%,15.40%,0.50%,3.50%,18.90%
BEVERAGES,TOOTH PASTES,2.90%,9.10%,0.50%,5.50%,17.30%
BISCUITS - CORE & NON CORE,CONFECTIONERY - TOTAL GUM,47.50%,1.10%,0.50%,43.10%,1.00%
BISCUITS - CORE & NON CORE,GLUCOSE POWDER & TABLET,47.50%,0.90%,0.50%,54.50%,1.00%
BISCUITS - CORE & NON CORE,SOAP CAKES/BARS,47.50%,0.80%,0.50%,62.00%,1.00%
BISCUITS - CORE & NON CORE,VANASPATI CONS PACK (8/94),47.50%,1.00%,0.50%,48.40%,1.00%
BREAKFAST CEREALS,BUTTER MARGR  (4/94),4.90%,7.80%,0.50%,6.20%,9.80%
BREAKFAST CEREALS,CLEANERS - UTENSIL,4.90%,9.10%,0.50%,5.30%,9.80%
BUTTER MARGR  (4/94),CLEANERS - TOILET,7.80%,2.60%,0.50%,20.10%,6.60%
BUTTER MARGR  (4/94),LIQUID TOILET SOAPS  (8/93),7.80%,2.30%,0.50%,21.20%,6.20%
CHEESE        (4/94),CLEANERS - FLOOR,3.70%,4.20%,0.50%,11.40%,12.90%
CHEESE        (4/94),COCONUT OIL PKTYP (08/02),3.70%,4.20%,0.50%,10.60%,12.10%
CHOCOLATE,"FRAGRANCE-PERFUM,DEO & COLOGNE",18.00%,1.70%,0.50%,27.30%,2.60%
CHOCOLATE,HOME INSECTICIDES CTG  (8/93),18.00%,1.80%,0.50%,26.10%,2.60%
CHOCOLATE,LIQUID TOILET SOAPS  (8/93),18.00%,2.30%,0.50%,20.50%,2.60%
CLEANERS - FLOOR,DETERGENT CAKES/BARS,4.20%,4.90%,0.50%,10.90%,12.50%
CLEANERS - FLOOR,KETCHUPS/SAUCES,4.20%,5.00%,0.50%,9.30%,11.10%
CLEANERS - FLOOR,PRE-POST WASH PRODUCTS,4.20%,3.30%,0.50%,15.90%,12.50%
CLEANERS - UTENSIL,COFFEE,9.10%,2.50%,0.50%,20.00%,5.50%
CLEANERS - UTENSIL,SANITARY NAPKINS,9.10%,2.90%,0.50%,15.60%,5.00%
CLEANERS - UTENSIL,SCOURING PADS/SCRUBS,9.10%,1.70%,0.50%,33.00%,6.00%
CLEANERS - UTENSIL,SKIN CREAMS,9.10%,4.00%,0.50%,12.60%,5.50%
COCONUT OIL PKTYP (08/02),PACKAGED PURE GHEE,4.20%,4.90%,0.50%,10.90%,12.50%
COCONUT OIL PKTYP (08/02),PRE-POST WASH PRODUCTS,4.20%,3.30%,0.50%,13.60%,10.60%
COCONUT OIL PKTYP (08/02),SHAMPOO - BY SEGMENTS,4.20%,4.30%,0.50%,12.60%,12.80%
COFFEE,REFINED EDIBLE OILS-ALL PACKS,2.50%,12.40%,0.50%,4.40%,21.90%
CONFECTIONERY - TOFFEE/HBC,REFINED EDIBLE OILS-ALL PACKS,4.20%,12.40%,0.50%,4.30%,12.60%
CONFECTIONERY - TOFFEE/HBC,TOILET SOAPS (04/00),4.20%,11.80%,0.50%,4.50%,12.60%
DETERGENT CAKES/BARS,KETCHUPS/SAUCES,4.90%,5.00%,0.50%,9.00%,9.30%
DETERGENT CAKES/BARS,PACKAGED PURE GHEE,4.90%,4.90%,0.50%,11.20%,11.20%
DETERGENT CAKES/BARS,SHAMPOO - BY SEGMENTS,4.90%,4.30%,0.50%,12.30%,10.90%
DIAPERS       (8/93),VERMICELLI & NOODLE,2.40%,17.20%,0.50%,2.90%,21.20%
HAIR DYES     (1/76),REFINED EDIBLE OILS-ALL PACKS,3.00%,12.40%,0.50%,4.00%,16.80%
HAIR DYES     (1/76),SPICES (03/04),3.00%,15.40%,0.50%,3.10%,16.20%
HAIR DYES     (1/76),TOILET SOAPS (04/00),3.00%,11.80%,0.50%,4.60%,18.30%
HAIR DYES     (1/76),VERMICELLI & NOODLE,3.00%,17.20%,0.50%,3.00%,17.30%
HAIR OILS PKTP(8/02),REFINED EDIBLE OILS-ALL PACKS,3.00%,12.40%,0.50%,3.80%,15.50%
HAIR OILS PKTP(8/02),SPICES (03/04),3.00%,15.40%,0.50%,3.00%,15.50%
HOME INSECTICIDES CTG  (8/93),WASHING POWDERS/LIQUIDS,1.80%,14.40%,0.50%,3.20%,26.10%
JAMS/JELLY/MARMALADES-CTG,TOILET SOAPS (04/00),1.70%,11.80%,0.50%,4.30%,30.80%
JAMS/JELLY/MARMALADES-CTG,WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.50%,3.20%,28.00%
KETCHUPS/SAUCES,PACKAGED PURE GHEE,5.00%,4.90%,0.50%,9.90%,9.60%
LIQUID TOILET SOAPS  (8/93),REFINED EDIBLE OILS-ALL PACKS,2.30%,12.40%,0.50%,4.00%,21.90%
LIQUID TOILET SOAPS  (8/93),TOOTH PASTES,2.30%,9.10%,0.50%,5.60%,22.60%
LIQUID TOILET SOAPS  (8/93),VERMICELLI & NOODLE,2.30%,17.20%,0.50%,3.20%,24.00%
MOSQUITO REPELLANTS CTG (8/93),PACKAGED TEA,1.90%,13.30%,0.50%,3.40%,24.20%
MOSQUITO REPELLANTS CTG (8/93),SALTY SNACKS (2/97),1.90%,20.10%,0.50%,2.60%,27.50%
PACKAGED ATTA (1/95),PRE-POST WASH PRODUCTS,8.70%,3.30%,0.50%,14.50%,5.50%
PACKAGED ATTA (1/95),SHAMPOO - BY SEGMENTS,8.70%,4.30%,0.50%,10.80%,5.40%
PACKAGED TEA,SCOURING PADS/SCRUBS,13.30%,1.70%,0.50%,33.00%,4.10%
PACKAGED TEA,SQSH CRDLS & SFT DRNK-CONVERTD,13.30%,1.90%,0.50%,27.50%,3.90%
PACKAGED TEA,TALCUM POWDERS,13.30%,1.70%,0.50%,28.40%,3.60%
SALTY SNACKS (2/97),SCOURING PADS/SCRUBS,20.10%,1.70%,0.50%,28.30%,2.30%
SANITARY NAPKINS,WASHING POWDERS/LIQUIDS,2.90%,14.40%,0.50%,3.20%,16.10%
SCOURING PADS/SCRUBS,SPICES (03/04),1.70%,15.40%,0.50%,3.20%,30.20%
SHAMPOO - BY SEGMENTS,SKIN CREAMS,4.30%,4.00%,0.50%,13.80%,12.60%
SPICES (03/04),TOOTH BRUSH   (7/93),15.40%,1.60%,0.50%,31.40%,3.20%
SQSH CRDLS & SFT DRNK-CONVERTD,TOILET SOAPS (04/00),1.90%,11.80%,0.50%,3.80%,24.20%
TALCUM POWDERS,TOOTH PASTES,1.70%,9.10%,0.50%,5.30%,28.40%
TOOTH BRUSH   (7/93),WASHING POWDERS/LIQUIDS,1.60%,14.40%,0.50%,3.40%,30.40%
AGARBATTI & DHOOPBATTI,PACKAGED TEA,1.80%,13.30%,0.40%,2.80%,21.10%
AGARBATTI & DHOOPBATTI,SALTY SNACKS (2/97),1.80%,20.10%,0.40%,2.00%,22.80%
AGARBATTI & DHOOPBATTI,TOILET SOAPS (04/00),1.80%,11.80%,0.40%,3.20%,21.10%
AGARBATTI & DHOOPBATTI,VERMICELLI & NOODLE,1.80%,17.20%,0.40%,2.20%,21.10%
AGARBATTI & DHOOPBATTI,WASHING POWDERS/LIQUIDS,1.80%,14.40%,0.40%,2.60%,21.10%
ALL AIR FRESHNERS(01/03),SPICES (03/04),1.20%,15.40%,0.40%,2.50%,32.10%
ALL AIR FRESHNERS(01/03),TOILET SOAPS (04/00),1.20%,11.80%,0.40%,3.20%,30.80%
ALL IODISED SALT,CLEANERS - TOILET,6.80%,2.60%,0.40%,14.60%,5.50%
ALL IODISED SALT,PRE-POST WASH PRODUCTS,6.80%,3.30%,0.40%,13.10%,6.40%
ALL IODISED SALT,SHAMPOO - BY SEGMENTS,6.80%,4.30%,0.40%,8.70%,5.50%
ANTACIDS,BISCUITS - CORE & NON CORE,1.00%,47.50%,0.40%,0.80%,37.10%
ANTISEPTIC LIQUIDS (4/97),WASHING POWDERS/LIQUIDS,1.10%,14.40%,0.40%,2.80%,38.20%
BATTERIES,SALTY SNACKS (2/97),1.90%,20.10%,0.40%,1.90%,20.20%
BATTERIES,TOILET SOAPS (04/00),1.90%,11.80%,0.40%,3.00%,18.50%
BATTERIES,TOOTH PASTES,1.90%,9.10%,0.40%,3.90%,18.50%
BEVERAGES,KETCHUPS/SAUCES,2.90%,5.00%,0.40%,7.10%,12.40%
BEVERAGES,SALTY SNACKS (2/97),2.90%,20.10%,0.40%,2.10%,14.60%
BISCUITS - CORE & NON CORE,CONFECTIONERY - LOLLIPOP/FMR,47.50%,0.70%,0.40%,59.10%,0.90%
BISCUITS - CORE & NON CORE,HAIR CONDITIONERS,47.50%,0.90%,0.40%,44.80%,0.90%
BISCUITS - CORE & NON CORE,PRICKLY HEAT POWDER,47.50%,0.80%,0.40%,50.00%,0.90%
BISCUITS - CORE & NON CORE,RUBEFACIENT,47.50%,0.60%,0.40%,64.10%,0.80%
BREAKFAST CEREALS,KETCHUPS/SAUCES,4.90%,5.00%,0.40%,8.10%,8.30%
BREAKFAST CEREALS,PACKAGED ATTA (1/95),4.90%,8.70%,0.40%,4.80%,8.60%
BUTTER MARGR  (4/94),COFFEE,7.80%,2.50%,0.40%,16.90%,5.40%
BUTTER MARGR  (4/94),JAMS/JELLY/MARMALADES-CTG,7.80%,1.70%,0.40%,26.20%,5.60%
BUTTER MARGR  (4/94),MOSQUITO REPELLANTS CTG (8/93),7.80%,1.90%,0.40%,20.00%,4.80%
BUTTER MARGR  (4/94),SKIN CREAMS,7.80%,4.00%,0.40%,9.80%,5.00%
CHEESE        (4/94),DETERGENT CAKES/BARS,3.70%,4.90%,0.40%,7.70%,10.00%
CHEESE        (4/94),PACKAGED PURE GHEE,3.70%,4.90%,0.40%,8.00%,10.40%
CHOCOLATE,CONFECTIONERY - TOTAL GUM,18.00%,1.10%,0.40%,36.10%,2.30%
CHOCOLATE,DIAPERS       (8/93),18.00%,2.40%,0.40%,18.50%,2.40%
CHOCOLATE,JAMS/JELLY/MARMALADES-CTG,18.00%,1.70%,0.40%,22.40%,2.10%
CHOCOLATE,MILK POWDERS,18.00%,1.70%,0.40%,22.20%,2.10%
CHOCOLATE,MOSQUITO REPELLANTS CTG (8/93),18.00%,1.90%,0.40%,19.20%,2.00%
CHOCOLATE,SCOURING PADS/SCRUBS,18.00%,1.70%,0.40%,22.60%,2.10%
CHOCOLATE,SQSH CRDLS & SFT DRNK-CONVERTD,18.00%,1.90%,0.40%,23.30%,2.40%
CHOCOLATE,TOOTH BRUSH   (7/93),18.00%,1.60%,0.40%,24.50%,2.20%
CLEANERS - FLOOR,LIQUID TOILET SOAPS  (8/93),4.20%,2.30%,0.40%,16.40%,8.90%
CLEANERS - TOILET,COCONUT OIL PKTYP (08/02),2.60%,4.20%,0.40%,8.40%,14.00%
CLEANERS - TOILET,DETERGENT CAKES/BARS,2.60%,4.90%,0.40%,8.00%,15.20%
CLEANERS - TOILET,PACKAGED ATTA (1/95),2.60%,8.70%,0.40%,4.80%,16.50%
CLEANERS - TOILET,PRE-POST WASH PRODUCTS,2.60%,3.30%,0.40%,11.20%,14.60%
CLEANERS - UTENSIL,HAIR DYES     (1/76),9.10%,3.00%,0.40%,14.10%,4.60%
CLEANERS - UTENSIL,HAIR OILS PKTP(8/02),9.10%,3.00%,0.40%,13.50%,4.50%
CLEANERS - UTENSIL,MILK POWDERS,9.10%,1.70%,0.40%,21.30%,3.90%
CLEANERS - UTENSIL,READY TO EAT,9.10%,3.90%,0.40%,11.20%,4.80%
COCONUT OIL PKTYP (08/02),KETCHUPS/SAUCES,4.20%,5.00%,0.40%,8.40%,9.90%
COFFEE,DETERGENT CAKES/BARS,2.50%,4.90%,0.40%,7.30%,14.40%
CONFECTIONERY - TOFFEE/HBC,PACKAGED ATTA (1/95),4.20%,8.70%,0.40%,4.30%,8.90%
DIAPERS       (8/93),SALTY SNACKS (2/97),2.40%,20.10%,0.40%,2.10%,17.90%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SALTY SNACKS (2/97),1.70%,20.10%,0.40%,1.90%,21.80%
"FRAGRANCE-PERFUM,DEO & COLOGNE",TOILET SOAPS (04/00),1.70%,11.80%,0.40%,3.20%,21.80%
"FRAGRANCE-PERFUM,DEO & COLOGNE",VERMICELLI & NOODLE,1.70%,17.20%,0.40%,2.40%,24.50%
"FRAGRANCE-PERFUM,DEO & COLOGNE",WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.40%,2.90%,24.50%
HAIR CONDITIONERS,SHAMPOO - BY SEGMENTS,0.90%,4.30%,0.40%,8.30%,39.70%
HAIR DYES     (1/76),SKIN CREAMS,3.00%,4.00%,0.40%,10.20%,13.60%
HAIR DYES     (1/76),TOOTH PASTES,3.00%,9.10%,0.40%,4.60%,14.10%
HAIR OILS PKTP(8/02),SHAMPOO - BY SEGMENTS,3.00%,4.30%,0.40%,10.10%,14.50%
HAIR OILS PKTP(8/02),SKIN CREAMS,3.00%,4.00%,0.40%,9.10%,11.90%
HOME INSECTICIDES CTG  (8/93),PACKAGED TEA,1.80%,13.30%,0.40%,3.00%,22.60%
HOME INSECTICIDES CTG  (8/93),SALTY SNACKS (2/97),1.80%,20.10%,0.40%,2.20%,24.30%
HOME INSECTICIDES CTG  (8/93),SPICES (03/04),1.80%,15.40%,0.40%,2.50%,21.70%
HOME INSECTICIDES CTG  (8/93),VERMICELLI & NOODLE,1.80%,17.20%,0.40%,2.30%,21.70%
JAMS/JELLY/MARMALADES-CTG,PACKAGED TEA,1.70%,13.30%,0.40%,3.30%,26.20%
JAMS/JELLY/MARMALADES-CTG,SALTY SNACKS (2/97),1.70%,20.10%,0.40%,1.90%,23.40%
JAMS/JELLY/MARMALADES-CTG,SPICES (03/04),1.70%,15.40%,0.40%,2.30%,21.50%
JAMS/JELLY/MARMALADES-CTG,VERMICELLI & NOODLE,1.70%,17.20%,0.40%,2.30%,23.40%
KETCHUPS/SAUCES,PRE-POST WASH PRODUCTS,5.00%,3.30%,0.40%,10.70%,7.10%
MILK POWDERS,SPICES (03/04),1.70%,15.40%,0.40%,2.50%,23.20%
MILK POWDERS,TOILET SOAPS (04/00),1.70%,11.80%,0.40%,3.40%,24.10%
MILK POWDERS,VERMICELLI & NOODLE,1.70%,17.20%,0.40%,2.30%,23.20%
MILK POWDERS,WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.40%,3.00%,25.90%
MOSQUITO REPELLANTS CTG (8/93),PACKAGED ATTA (1/95),1.90%,8.70%,0.40%,4.50%,20.80%
MOSQUITO REPELLANTS CTG (8/93),REFINED EDIBLE OILS-ALL PACKS,1.90%,12.40%,0.40%,2.90%,19.20%
MOSQUITO REPELLANTS CTG (8/93),SPICES (03/04),1.90%,15.40%,0.40%,2.80%,23.30%
MOSQUITO REPELLANTS CTG (8/93),TOILET SOAPS (04/00),1.90%,11.80%,0.40%,3.40%,21.70%
NON-REFINED OILS   (9/93),PACKAGED TEA,1.70%,13.30%,0.40%,2.90%,22.90%
NON-REFINED OILS   (9/93),REFINED EDIBLE OILS-ALL PACKS,1.70%,12.40%,0.40%,3.50%,25.70%
NON-REFINED OILS   (9/93),SALTY SNACKS (2/97),1.70%,20.10%,0.40%,2.10%,24.80%
NON-REFINED OILS   (9/93),TOILET SOAPS (04/00),1.70%,11.80%,0.40%,3.30%,22.90%
NON-REFINED OILS   (9/93),WASHING POWDERS/LIQUIDS,1.70%,14.40%,0.40%,2.70%,22.90%
PACKAGED ATTA (1/95),SKIN CREAMS,8.70%,4.00%,0.40%,11.00%,5.00%
PACKAGED PURE GHEE,PRE-POST WASH PRODUCTS,4.90%,3.30%,0.40%,12.60%,8.60%
PACKAGED RICE (1/95),REFINED EDIBLE OILS-ALL PACKS,1.20%,12.40%,0.40%,3.00%,32.00%
PACKAGED RICE (1/95),SPICES (03/04),1.20%,15.40%,0.40%,2.40%,32.00%
PACKAGED TEA,SANITARY NAPKINS,13.30%,2.90%,0.40%,13.40%,2.90%
PACKAGED TEA,TOOTH BRUSH   (7/93),13.30%,1.60%,0.40%,24.50%,2.90%
READY TO EAT,REFINED EDIBLE OILS-ALL PACKS,3.90%,12.40%,0.40%,3.10%,10.00%
READY TO EAT,TOOTH PASTES,3.90%,9.10%,0.40%,4.40%,10.40%
REFINED EDIBLE OILS-ALL PACKS,SCOURING PADS/SCRUBS,12.40%,1.70%,0.40%,24.50%,3.30%
REFINED EDIBLE OILS-ALL PACKS,TOOTH BRUSH   (7/93),12.40%,1.60%,0.40%,23.50%,3.00%
SALTY SNACKS (2/97),SQSH CRDLS & SFT DRNK-CONVERTD,20.10%,1.90%,0.40%,20.00%,1.90%
SALTY SNACKS (2/97),TALCUM POWDERS,20.10%,1.70%,0.40%,24.80%,2.10%
SANITARY NAPKINS,TOILET SOAPS (04/00),2.90%,11.80%,0.40%,3.00%,12.40%
SANITARY NAPKINS,VERMICELLI & NOODLE,2.90%,17.20%,0.40%,2.10%,12.40%
SCOURING PADS/SCRUBS,TOILET SOAPS (04/00),1.70%,11.80%,0.40%,3.30%,23.60%
SCOURING PADS/SCRUBS,TOOTH PASTES,1.70%,9.10%,0.40%,4.40%,24.50%
SCOURING PADS/SCRUBS,VERMICELLI & NOODLE,1.70%,17.20%,0.40%,2.30%,23.60%
SPICES (03/04),SQSH CRDLS & SFT DRNK-CONVERTD,15.40%,1.90%,0.40%,21.70%,2.60%
SPICES (03/04),TALCUM POWDERS,15.40%,1.70%,0.40%,22.90%,2.50%
SQSH CRDLS & SFT DRNK-CONVERTD,VERMICELLI & NOODLE,1.90%,17.20%,0.40%,2.40%,22.50%
SQSH CRDLS & SFT DRNK-CONVERTD,WASHING POWDERS/LIQUIDS,1.90%,14.40%,0.40%,2.90%,22.50%
TOOTH BRUSH   (7/93),VERMICELLI & NOODLE,1.60%,17.20%,0.40%,2.30%,24.50%
AGARBATTI & DHOOPBATTI,CHOCOLATE,1.80%,18.00%,0.30%,1.70%,17.50%
AGARBATTI & DHOOPBATTI,REFINED EDIBLE OILS-ALL PACKS,1.80%,12.40%,0.30%,2.80%,19.30%
AGARBATTI & DHOOPBATTI,TOOTH PASTES,1.80%,9.10%,0.30%,3.60%,18.40%
ALL AIR FRESHNERS(01/03),CHOCOLATE,1.20%,18.00%,0.30%,1.50%,21.80%
ALL AIR FRESHNERS(01/03),CLEANERS - UTENSIL,1.20%,9.10%,0.30%,3.30%,24.40%
ALL AIR FRESHNERS(01/03),PACKAGED TEA,1.20%,13.30%,0.30%,2.60%,28.20%
ALL AIR FRESHNERS(01/03),SALTY SNACKS (2/97),1.20%,20.10%,0.30%,1.50%,24.40%
ALL AIR FRESHNERS(01/03),TOOTH PASTES,1.20%,9.10%,0.30%,3.20%,24.40%
ALL AIR FRESHNERS(01/03),VERMICELLI & NOODLE,1.20%,17.20%,0.30%,1.80%,25.60%
ALL AIR FRESHNERS(01/03),WASHING POWDERS/LIQUIDS,1.20%,14.40%,0.30%,2.10%,24.40%
ALL IODISED SALT,BEVERAGES,6.80%,2.90%,0.30%,10.30%,4.30%
ALL IODISED SALT,COFFEE,6.80%,2.50%,0.30%,11.90%,4.30%
ALL IODISED SALT,CONFECTIONERY - TOFFEE/HBC,6.80%,4.20%,0.30%,6.70%,4.10%
ALL IODISED SALT,HAIR DYES     (1/76),6.80%,3.00%,0.30%,8.90%,3.90%
ALL IODISED SALT,MOSQUITO REPELLANTS CTG (8/93),6.80%,1.90%,0.30%,15.00%,4.10%
ALL IODISED SALT,READY TO EAT,6.80%,3.90%,0.30%,8.40%,4.80%
ALL IODISED SALT,SCOURING PADS/SCRUBS,6.80%,1.70%,0.30%,18.90%,4.60%
ALL IODISED SALT,SKIN CREAMS,6.80%,4.00%,0.30%,7.90%,4.60%
ANTISEPTIC LIQUIDS (4/97),CLEANERS - UTENSIL,1.10%,9.10%,0.30%,3.30%,27.90%
ANTISEPTIC LIQUIDS (4/97),PACKAGED TEA,1.10%,13.30%,0.30%,2.20%,27.90%
ANTISEPTIC LIQUIDS (4/97),SALTY SNACKS (2/97),1.10%,20.10%,0.30%,1.30%,25.00%
ANTISEPTIC LIQUIDS (4/97),SPICES (03/04),1.10%,15.40%,0.30%,2.20%,32.40%
BATTERIES,CHOCOLATE,1.90%,18.00%,0.30%,1.80%,16.90%
BATTERIES,CLEANERS - UTENSIL,1.90%,9.10%,0.30%,2.90%,13.70%
BATTERIES,PACKAGED ATTA (1/95),1.90%,8.70%,0.30%,3.00%,13.70%
BATTERIES,PACKAGED TEA,1.90%,13.30%,0.30%,2.50%,16.90%
BATTERIES,REFINED EDIBLE OILS-ALL PACKS,1.90%,12.40%,0.30%,2.80%,17.70%
BEVERAGES,BREAKFAST CEREALS,2.90%,4.90%,0.30%,6.70%,11.40%
BEVERAGES,BUTTER MARGR  (4/94),2.90%,7.80%,0.30%,4.20%,11.40%
BEVERAGES,PACKAGED PURE GHEE,2.90%,4.90%,0.30%,6.10%,10.30%
BISCUITS - CORE & NON CORE,SHAVING PREPARATIONS,47.50%,0.50%,0.30%,54.30%,0.60%
BISCUITS - CORE & NON CORE,SUGAR SUBSTITUTE (11/05),47.50%,0.40%,0.30%,78.60%,0.70%
BREAKFAST CEREALS,CHEESE        (4/94),4.90%,3.70%,0.30%,7.10%,5.40%
