ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
TOOTH PASTES,VERMICELLI & NOODLE,9.10%,17.20%,2.20%,13.00%,24.60%
ALL IODISED SALT,SPICES (03/04),6.80%,15.40%,2.10%,13.50%,30.70%
BISCUITS - CORE & NON CORE,CONFECTIONERY - TOFFEE/HBC,47.50%,4.20%,2.10%,49.10%,4.30%
BISCUITS - CORE & NON CORE,SKIN CREAMS,47.50%,4.00%,2.10%,53.90%,4.50%
BUTTER MARGR  (4/94),SALTY SNACKS (2/97),7.80%,20.10%,2.10%,10.20%,26.50%
CHOCOLATE,TOILET SOAPS (04/00),18.00%,11.80%,2.10%,17.40%,11.40%
DETERGENT CAKES/BARS,WASHING POWDERS/LIQUIDS,4.90%,14.40%,2.10%,14.30%,42.20%
PACKAGED ATTA (1/95),SPICES (03/04),8.70%,15.40%,2.10%,13.50%,24.00%
ALL IODISED SALT,WASHING POWDERS/LIQUIDS,6.80%,14.40%,2.00%,13.90%,29.30%
CLEANERS - UTENSIL,TOOTH PASTES,9.10%,9.10%,2.00%,22.20%,22.30%
DETERGENT CAKES/BARS,TOILET SOAPS (04/00),4.90%,11.80%,2.00%,16.80%,40.90%
PACKAGED ATTA (1/95),WASHING POWDERS/LIQUIDS,8.70%,14.40%,2.00%,13.70%,22.70%
SPICES (03/04),TOOTH PASTES,15.40%,9.10%,2.00%,21.70%,12.80%
ALL IODISED SALT,PACKAGED TEA,6.80%,13.30%,1.90%,14.00%,27.20%
BUTTER MARGR  (4/94),PACKAGED TEA,7.80%,13.30%,1.90%,14.40%,24.60%
BUTTER MARGR  (4/94),VERMICELLI & NOODLE,7.80%,17.20%,1.90%,10.80%,23.80%
BUTTER MARGR  (4/94),WASHING POWDERS/LIQUIDS,7.80%,14.40%,1.90%,13.00%,24.00%
PACKAGED ATTA (1/95),PACKAGED TEA,8.70%,13.30%,1.90%,14.70%,22.40%
PACKAGED ATTA (1/95),REFINED EDIBLE OILS-ALL PACKS,8.70%,12.40%,1.90%,15.60%,22.20%
REFINED EDIBLE OILS-ALL PACKS,TOOTH PASTES,12.40%,9.10%,1.90%,21.20%,15.60%
ALL IODISED SALT,REFINED EDIBLE OILS-ALL PACKS,6.80%,12.40%,1.80%,14.90%,27.00%
BISCUITS - CORE & NON CORE,PRE-POST WASH PRODUCTS,47.50%,3.30%,1.80%,53.70%,3.80%
BISCUITS - CORE & NON CORE,READY TO EAT,47.50%,3.90%,1.80%,45.60%,3.70%
BISCUITS - CORE & NON CORE,SANITARY NAPKINS,47.50%,2.90%,1.80%,61.30%,3.70%
CLEANERS - UTENSIL,REFINED EDIBLE OILS-ALL PACKS,9.10%,12.40%,1.80%,14.50%,19.70%
PACKAGED ATTA (1/95),SALTY SNACKS (2/97),8.70%,20.10%,1.80%,9.00%,20.80%
BISCUITS - CORE & NON CORE,CLEANERS - TOILET,47.50%,2.60%,1.70%,65.20%,3.50%
BUTTER MARGR  (4/94),SPICES (03/04),7.80%,15.40%,1.70%,11.00%,21.80%
BUTTER MARGR  (4/94),TOILET SOAPS (04/00),7.80%,11.80%,1.70%,14.60%,22.20%
